id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,Group 3,777,8,152,Nicholas Clark,1:34.920,94.92,,,,203
,128,Group 3,777,9,222,Gabriel Wochtl,1:38.390,98.39,,,,495
,128,Group 3,777,10,214,Adrian Tylwalk,1:38.750,98.75,,,,237
,128,Group 3,777,11,218,Jabari Watts,1:39.540,99.54,,,,93
,128,Group 3,777,12,153,Dexter Colice,1:39.760,99.76,,,,351
,128,Group 4,777,1,120,Hannah Huang,1:27.260,87.26,,,,124
,128,Group 4,777,2,108,Elliana Cho,1:27.480,87.48,,,,140
,128,Group 4,777,3,227,Aiden Zhang,1:27.650,87.65,,,,3890
,128,Group 4,777,4,114,Lindsay Lin,1:28.300,88.3,,,,199
,128,Group 4,777,5,183,Marcus Liu,1:28.800,88.8,,,,131
,128,Group 4,777,6,194,Hendrik Plate-Tong,1:28.830,88.83,,,,144
,128,Group 4,777,7,206,Noah Shi,1:29.050,89.05,,,,1492
,128,Group 4,777,8,179,Marcus Li,1:29.690,89.69,,,,894
,128,Group 4,777,9,196,Harvey Qu,1:31.830,91.83,,,,162
,128,Group 4,777,10,207,Landon Smith,1:32.730,92.73,,,,190
,128,Group 4,777,11,224,Kobe Yee,1:33.830,93.83,,,,101
,128,Group 4,333,1,227,Aiden Zhang,0:36.600,36.6,,,,3890
,128,Group 4,333,2,108,Elliana Cho,0:36.850,36.85,,,,140
,128,Group 4,333,3,114,Lindsay Lin,0:37.150,37.15,,,,199
,128,Group 4,333,4,194,Hendrik Plate-Tong,0:37.530,37.53,,,,144
,128,Group 4,333,5,196,Harvey Qu,0:37.540,37.54,,,,162
,128,Group 4,333,6,120,Hannah Huang,0:37.650,37.65,,,,124
,128,Group 4,333,7,179,Marcus Li,0:37.760,37.76,,,,894
,128,Group 4,333,8,206,Noah Shi,0:37.800,37.8,,,,1492
,128,Group 4,333,9,224,Kobe Yee,0:37.940,37.94,,,,101
,128,Group 4,333,10,183,Marcus Liu,0:38.800,38.8,,,,131
,128,Group 4,333,11,207,Landon Smith,0:39.450,39.45,,,,190
,128,Group 4,500,1,114,Lindsay Lin,0:54.730,54.73,,,,199
,128,Group 4,500,2,108,Elliana Cho,0:55.010,55.01,,,,140
,128,Group 4,500,3,227,Aiden Zhang,0:55.230,55.23,,,,3890
,128,Group 4,500,4,194,Hendrik Plate-Tong,0:55.620,55.62,,,,144
,128,Group 4,500,5,206,Noah Shi,0:55.690,55.69,,,,1492
,128,Group 4,500,6,179,Marcus Li,0:55.940,55.94,,,,894
,128,Group 4,500,7,183,Marcus Liu,0:56.120,56.12,,,,131
,128,Group 4,500,8,120,Hannah Huang,0:56.160,56.16,,,,124
,128,Group 4,500,9,196,Harvey Qu,0:57.010,57.01,,,,162
,128,Group 4,500,10,224,Kobe Yee,0:57.270,57.27,,,,101
,128,Group 4,500,11,207,Landon Smith,0:59.440,59.44,,,,190
,128,Group 5,777,1,164,Clark Hartemink,1:33.360,93.36,,,,182
,128,Group 5,777,2,212,Sean Sun,1:35.830,95.83,,,,115
,128,Group 5,777,3,100,Saruar Aitbayeva,1:36.290,96.29,,,,739
,128,Group 5,777,4,185,Avery Lorenz,1:38.400,98.4,,,,375
,128,Group 5,777,5,225,James Yin,1:38.610,98.61,,,,276
,128,Group 5,777,6,151,Derick Chang,1:38.780,98.78,,,,460
,128,Group 5,777,7,103,Elizabeth Bourquin,1:40.750,100.75,,,,176
,128,Group 5,777,8,169,Maren Hoffman,1:46.170,106.17,,,,374
,128,Group 5,777,9,193,Henry Peck,1:46.420,106.42,,,,370
,128,Group 5,777,10,118,Emily Hogan,1:48.150,108.15,,,,964
