raw_value,count,type,canonical,country,notes
CAN,79,country,CAN,CAN,
NOR,37,country,NOR,NOR,
POL,34,country,POL,POL,
ITA,33,country,ITA,ITA,
COL,27,country,COL,COL,
CHN,25,country,CHN,CHN,
GER,25,country,GER,GER,
KAZ,23,country,KAZ,KAZ,
SUI,17,country,SUI,SUI,
DEN,14,country,DEN,DEN,
FIN,12,country,FIN,FIN,
ESP,11,country,ESP,ESP,
KOR,10,country,KOR,KOR,
BRA,10,country,BRA,BRA,
RRK,9,country,RRK,RRK,
LTSS,9,country,LTSS,LTSS,
AUT,9,country,AUT,AUT,
IND,8,country,IND,IND,
POC,8,country,POC,POC,
CZE,8,country,CZE,CZE,
PSSC,8,country,PSSC,PSSC,
POCO,8,country,POCO,POCO,
TPE,7,country,TPE,TPE,
HUN,7,country,HUN,HUN,
AUS,6,country,AUS,AUS,
NCA,6,country,NCA,NCA,
PCSSC,6,country,PCSSC,PCSSC,
ROU,6,country,ROU,ROU,
BEL,6,country,BEL,BEL,
MTV,5,country,MTV,MTV,
VNC,5,country,VNC,VNC,
TCL,5,country,TCL,TCL,
NZL,4,country,NZL,NZL,
ARG,4,country,ARG,ARG,
BUR,3,country,BUR,BUR,
WTC,3,country,WTC,WTC,
SRF,3,country,SRF,SRF,
SWE,3,country,SWE,SWE,
L2SS,3,country,L2SS,L2SS,
EST,3,country,EST,EST,
GBR,3,country,GBR,GBR,
UZB,3,country,UZB,UZB,
PNV,2,country,PNV,PNV,
ECU,2,country,ECU,ECU,
NED,2,country,NED,NED,
HK,1,country,HK,HK,
UK,1,country,UK,UK,
PHI,1,country,PHI,PHI,
HKG,1,country,HKG,HKG,
ANG,1,country,ANG,ANG,
PCSM,1,country,PCSM,PCSM,
PCSK,1,country,PCSK,PCSK,
SVK,1,country,SVK,SVK,
GRE,1,country,GRE,GRE,
Direct,69,direct,Direct,US,
DIR,1,direct,Direct,US,
Speedskating Club,9,junk,,,junk token
State,2,junk,,,junk token
WSSC 1:27.260,1,club,Wisconsin Speed Skating Club,US,rescued
Lakewood 1:03.700,1,club,Lakewood Speedskating,US,rescued
Lakewood 2:07.370,1,club,Lakewood Speedskating,US,rescued
Lakewood 2:13.020,1,club,Lakewood Speedskating,US,rescued
Lakewood 1:45.820,1,club,Lakewood Speedskating,US,rescued
Alec,1,junk,,,junk token
Garden State Speedskating 1:58.040,1,club,Garden State Speedskating,US,rescued
Lakewood 1:05.010,1,club,Lakewood Speedskating,US,rescued
Lakewood 1:59.080,1,club,Lakewood Speedskating,US,rescued
Lakewood 0:54.520,1,club,Lakewood Speedskating,US,rescued
