Name,Member,gender
STARCK Gavin,ALSC,M
STARK Karl,MSC,M
STEAD Paul,USA,M
STEFANSKI Alexander,BSC,M
STEFANSKI Richard,BSC,M
STEIN Isaak,GESS,M
STEIN Kaleb,GESS,M
STEPHENS Kyle,BSS,M
STITT Robert,OSC,M
STROTH Jackson,NBSSC,M
STUMP Frank,PSC,M
SULKOSKE Ian,PSC,M
SULLIVAN Benjamin,PTSC,M
SUMMERS Charles,GWSS,M
SUN Albert,CRS,M
SUN Alvin,ESSC,M
SUN Andrew,CRS,M
SUN Sean,GSSC,M
SUSSMAN Aaron,NBSSC,M
SVEEN Samuel Welch,MSC,M
SWAN Daniel,DIRECT,M
SWEENEY Edwin,CSSC,M
TABIRA  Shuudai,JPN,M
TAN Ethan,FTSST,M
TANG Dawson,CRS,M
TANIGUCHI Kento,USA,M
TAQUEUSHI Luis,USA,M
TARA Cameron,RSST,M
TATELLI Carl,DIRECT,M
TAUB Theodore,DSSC,M
TESTA John,DSSC,M
THATCHER Desmond,CHS,M
THOMAS Flynn,PCSC,M
THOMAS Matthew,FMSC,M
THORNOCK Benjamin,USA,M
THOUMA Nathaniel,PSSP,M
TIAN Samuel,DIRECT,M
TOBIN Gary,GWSS,M
TODD Robert,SYSC,M
TOLLIVER Robert,PTSC,M
TOMORI-CARRIER Kosuke,PTSC,M
TOPA Alessandro,UCB,M
TORREY Jack,OSC,M
TOW Leo,USA,M
TRAN Aaron,USA,M
TRINIDAD Eben Emmanuel,NBSSC,M
TROPPE Noah,PSC,M
TRUPIN Lyle,CRS,M
TSAO Samuel,GSSC,M
TSYVINSKI Alexander,CSSC,M
TUCHOLSKI Archibald,SWC,M
TUCHOLSKI Theodore,SWC,M
TUCKER Vincent,CSSSC,M
TYLWALK Adrian,EPSSC,M
UKE Aaradhya,EBSSC,M
VALDEZ Deavon,DIRECT,M
VALDIVIA Jonathan,DIRECT,M
VALENTI Alan,CSSC,M
VAN FLEET Tim,EPSSC,M
VANDERKLOOT Nicolaaas,FMSC,M
VANG Sihan,DIRECT,M
VARAKLIS Dietrich,SUI,M
VASEY Truman,CSSC,M
VEERAVALLI Rithwik,FTSST,M
VELAZQUEZ Humberto,WOSC,M
VENTURA Andrew,PTSC,M
VENTURA Milo,PTSC,M
VERNI Cooper,ASSC,M
VERWIJS Marco,BSS,M
